"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MWJXPTV5","journalArticle","2024","MITRE","ATLAS Matrix | MITRE ATLAS™","MITRE","","","","https://atlas.mitre.org/matrices/ATLAS","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EVBCV3L","journalArticle","2013","MITRE","Mission First, People Always","","","","","https://www.mitre.org/","","2013","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TS5G64L8","journalArticle","2024","MITRE","AI Security 101 | MITRE ATLAS™","","","","","https://atlas.mitre.org/resources/ai-security-101","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKZ6AK9H","journalArticle","2023","Mohamed Firdhous, Mohamed Fazil; Elbreiki, Walid; Abdullahi, Ibrahim; Sudantha, B. H.; Budiarto, Rahmat","WormGPT: A Large Language Model Chatbot for Criminals","2023 24th International Arab Conference on Information Technology, ACIT 2023","","9798350384307","10.1109/ACIT58888.2023.10453752","","In recent years, AI has made many advances in multiple fronts. One such recent advance is the development of Large Language Models(LLMs), a deep learning model trained with a large set of data on billions of parameters. Many Generative Pretrained Transformer (GPT) models have been developed on these LLMs. ChatGPT has become the most popular GPT used by many people. Recently, a blackhat GPT named WormGPT has been launched for cybercriminals. WormGPT is capable of launching many types of attacks resulting in irreparable damage. Hence, Users are required to be familiar with these tools, if they are to protect themselves. This article is possibly the very first attempt to initiate a discussion on this topic within the formal research circles. This article starts with an introduction to LLMs and GPTs and then presents the details of WormGPT, its capabilities and the damage it can cause. Finally, a set of safeguards has been presented that can help to protect users from possible attacks.","2023","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","","","Artificial Intelligence; ChatGPT; GPT; Large Language Models; LLM; WormGPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7MKAS3V","journalArticle","2025","OWASP","Agentic AI - OWASP Lists Threats and Mitigations","","","","","https://genai.owasp.org/resource/agentic-ai-threats-and-mitigations/","","2025-02","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFZFLUGG","journalArticle","2025","Pieter Arntz","ThreatDown State of Malware report 2025","Malwarebytes","","","","https://www.threatdown.com/blog/threatdown-state-of-malware-report-2025/","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8E3HJSV3","journalArticle","","PluseMCP","PulseMCP | Keep up-to-date with MCP","","","","","https://www.pulsemcp.com/","","","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJIH6CCH","journalArticle","2024","Precedence Research","Artificial Intelligence (AI) In Cybersecurity Market Size, Report 2034","","","","","https://www.precedenceresearch.com/artificial-intelligence-in-cybersecurity-market","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEDJD4LU","journalArticle","2024","Project Zero","Project Zero: Project Naptime: Evaluating Offensive Security Capabilities of Large Language Models","","","","","https://googleprojectzero.blogspot.com/2024/06/project-naptime.html","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQDAZHH5","journalArticle","2025","Reiner Shaked","Agents Under Attack: Threat Modeling Agentic AI","","","","","https://www.cyberark.com/resources/threat-research-blog/agents-under-attack-threat-modeling-agentic-ai","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSEUNICF","journalArticle","2025","Renae Schilg","Building Your First Offensive Security MCP Server | by Renae Schilg | Medium","","","","","https://nae-bo.medium.com/building-your-first-offensive-security-mcp-server-dd655e258d5f","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCSGMSSD","journalArticle","2025","Renae Schilg","Offensive Security MCP Servers: A Primer | by Renae Schilg | Medium","","","","","https://nae-bo.medium.com/offensive-security-mcp-a-primer-424ad55f2bd9","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"298A75YM","journalArticle","2025","Rhiannon Williams","Cyberattacks by AI agents are coming | MIT Technology Review","","","","","https://www.technologyreview.com/2025/04/04/1114228/cyberattacks-by-ai-agents-are-coming/","","2025-04","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSTGHFJN","journalArticle","2024","RocketMe Up Cybersecurity","Rogue AI Agents — Security Risks of Autonomous AI in Malware Development | by RocketMe Up Cybersecurity | Medium","","","","","https://medium.com/@RocketMeUpCybersecurity/rogue-ai-agents-security-risks-of-autonomous-ai-in-malware-development-c50115714745","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3HWH4QB","journalArticle","2025","Sebastian Raschka","Understanding Reasoning LLMs","","","","","https://sebastianraschka.com/blog/2025/understanding-reasoning-llms.html","","2025-02","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7L7BFKD","journalArticle","2024","Sebastian Raschka","Understanding Multimodal LLMs - by Sebastian Raschka, PhD","","","","","https://magazine.sebastianraschka.com/p/understanding-multimodal-llms","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33PIMTW7","journalArticle","2025","Singer, Brian; Lucas, Keane; Adiga, Lakshmi; Jain, Meghna; Bauer, Lujo; Sekar, Vyas","On the Feasibility of Using LLMs to Autonomously Execute Multi-host Network Attacks","","","","","https://arxiv.org/pdf/2501.16466","LLMs have shown preliminary promise in some security tasks and CTF challenges. Real cyberattacks are often multi-host network attacks, which involve executing a number of steps across multiple hosts such as conducting reconnaissance, exploiting vulnerabilities, and using compromised hosts to exfiltrate data. To date, the extent to which LLMs can autonomously execute multi-host network attacks} is not well understood. To this end, our first contribution is MHBench, an open-source multi-host attack benchmark with 10 realistic emulated networks (from 25 to 50 hosts). We find that popular LLMs including modern reasoning models (e.g., GPT4o, Gemini 2.5 Pro, Sonnet 3.7 Thinking) with state-of-art security-relevant prompting strategies (e.g., PentestGPT, CyberSecEval3) cannot autonomously execute multi-host network attacks. To enable LLMs to autonomously execute such attacks, our second contribution is Incalmo, an high-level abstraction layer. Incalmo enables LLMs to specify high-level actions (e.g., infect a host, scan a network). Incalmo's translation layer converts these actions into lower-level primitives (e.g., commands to exploit tools) through expert agents. In 9 out of 10 networks in MHBench, LLMs using Incalmo achieve at least some of the attack goals. Even smaller LLMs (e.g., Haiku 3.5, Gemini 2 Flash) equipped with Incalmo achieve all goals in 5 of 10 environments. We also validate the key role of high-level actions in Incalmo's abstraction in enabling LLMs to autonomously execute such attacks.","2025-01","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AB6LW4CJ","journalArticle","2024","Susanna Ray","AI agents — what they are, and how they'll change the way we work - Source","","","","","https://news.microsoft.com/source/features/ai/ai-agents-what-they-are-and-how-theyll-change-the-way-we-work/","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDDDCK3D","journalArticle","2024","Tahir","Understanding Generative AI-Based Attacks with MITRE ATLAS | by Tahir | Medium","Medium","","","","https://medium.com/@tahirbalarabe2/understanding-generative-ai-based-attacks-with-mitre-atlas-a4e3be2a26e6","","2024","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPQ2IGNQ","journalArticle","2025","Volkov, Dmitrii","LLM Agent Honeypot: Monitoring AI Hacking Agents in the Wild","","","","","https://ai-honeypot.palisaderesearch.org/.","Attacks powered by Large Language Model (LLM) agents represent a growing threat to modern cybersecurity. To address this concern, we present LLM Honeypot, a system designed to monitor autonomous AI hacking agents. By augmenting a standard SSH honeypot with prompt injection and time-based analysis techniques, our framework aims to distinguish LLM agents among all attackers. Over a trial deployment of about three months in a public environment, we collected 8,130,731 hacking attempts and 8 potential AI agents. Our work demonstrates the emergence of AI-driven threats and their current level of usage, serving as an early warning of malicious LLM agents in the wild. Our dashboard with real-time results is available at https://ai-honeypot.palisaderesearch.org/.","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EXG27HV","journalArticle","2025","Weaviate","What Are Agentic Workflows? Weaviate","","","","","https://weaviate.io/blog/what-are-agentic-workflows","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZV42PRAY","journalArticle","2025","Zhu, Yuxuan; Kellermann, Antony; Bowman, Dylan; Li, Philip; Gupta, Akul; Danda, Adarsh; Fang, Richard; Jensen, Conner; Ihli, Eric; Benn, Jason; Geronimo, Jet; Dhir, Avi; Rao, Sudhit; Yu, Kaicheng; Stone, Twm; Kang, Daniel","CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities","","","","","https://github.com/uiuc-kang-","Large language model (LLM) agents are increasingly capable of autonomously conducting cyber-attacks, posing significant threats to existing applications. This growing risk highlights the urgent need for a real-world benchmark to evaluate the ability of LLM agents to exploit web application vulnerabilities. However, existing benchmarks fall short as they are limited to abstracted Capture the Flag competitions or lack comprehensive coverage. Building a benchmark for real-world vulnerabilities involves both specialized expertise to reproduce exploits and a systematic approach to evaluating unpredictable threats. To address this challenge, we introduce CVE-Bench, a real-world cybersecurity benchmark based on critical-severity Common Vulnerabilities and Exposures. In CVE-Bench, we design a sandbox framework that enables LLM agents to exploit vulnerable web applications in scenarios that mimic real-world conditions, while also providing effective evaluation of their exploits. Our evaluation shows that the state-of-the-art agent framework can resolve up to 13% of vulnerabilities.","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSAJ88YP","journalArticle","2024","Admass, Wasyihun Sema; Munaye, Yirga Yayeh; Diro, Abebe Abeshu","Cyber security: State of the art, challenges and future directions","Cyber Security and Applications","","2772-9184","10.1016/j.csa.2023.100031","https://www.sciencedirect.com/science/article/pii/S2772918423000188","Cyber security has become a very critical concern that needs the attention of researchers, academicians, and organizations to confidentially ensure the protection and security of information systems. Due to the increasing demand for digitalization, every individual and organization faces continually shifting cyber threats. This article provides an overview of the state of the art in cyber security, challenges, and tactics, current conditions, and global trends of cyber security. To stay ahead of the curve in cyber security, we conducted a systematic review to uncover the latest trends, challenges, and state-of-the-art in cyber security. Moreover, we address the future direction of cyber security, presenting the possible strategies and approaches to addressing the increasing cyber security threat landscapes, the emerging trends, and innovations like Artificial Intelligence (AI) and machine learning (ML) to detect and automate cyber threat responses. Additionally, this article underlines the importance of ongoing adoption along with collaboration among stakeholders in the cyber ecosystem.","2024-01-01","2025-08-08 09:56:58","2025-08-08 09:56:58","2025-08-08 09:56:58","100031","","","2","","Cyber Security and Applications","Cyber security","","","","","","","","","","","","ScienceDirect","","","","/Users/shoggyboy/Zotero/storage/7PPN8ZPW/S2772918423000188.html","","","Challenges; Cyber-security; Future directions; State-of-the-art; Trends","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUYMQQ9P","journalArticle","2022","Zhang, Zhimin; Ning, Huansheng; Shi, Feifei; Farha, Fadi; Xu, Yang; Xu, Jiabo; Zhang, Fan; Choo, Kim-Kwang Raymond","Artificial intelligence in cyber security: research advances, challenges, and opportunities","Artificial Intelligence Review","","1573-7462","10.1007/s10462-021-09976-0","https://doi.org/10.1007/s10462-021-09976-0","In recent times, there have been attempts to leverage artificial intelligence (AI) techniques in a broad range of cyber security applications. Therefore, this paper surveys the existing literature (comprising 54 papers mainly published between 2016 and 2020) on the applications of AI in user access authentication, network situation awareness, dangerous behavior monitoring, and abnormal traffic identification. This paper also identifies a number of limitations and challenges, and based on the findings, a conceptual human-in-the-loop intelligence cyber security model is presented.","2022-02-01","2025-08-08 10:06:23","2025-08-08 10:06:23","2025-08-08 10:06:23","1029-1053","","2","55","","Artif Intell Rev","Artificial intelligence in cyber security","","","","","","","en","","","","","Springer Link","","","","/Users/shoggyboy/Zotero/storage/CHM9GR58/Zhang et al. - 2022 - Artificial intelligence in cyber security researc.pdf","","","Artificial Intelligence; Computational Intelligence; Cyber Security; Cyber-Physical Systems; Data and Information Security; Human-in-the-Loop; IT Security Awareness; Security Methods; Security Science and Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PFN4L6J","webpage","2025","Rapid7","Emerging Trends in AI-Related Cyberthreats in 2025 - Rapid7 Blog","Rapid7","","","","https://www.rapid7.com/blog/post/emerging-trends-in-ai-related-cyberthreats-in-2025-impacts-on-organizational-cybersecurity/","As AI becomes more accessible, cybercrime-as-a-service platforms are emerging, allowing even non-experts to launch complex attacks using rented AI tools.","2025-06-23","2025-08-08 10:39:36","2025-08-08 10:39:36","2025-08-08 10:39:36","","","","","","","","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/6W9F6KC7/emerging-trends-in-ai-related-cyberthreats-in-2025-impacts-on-organizational-cybersecurity.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VLLDGHC","journalArticle","2014","AsSadhan, Basil; Moura, José M. F.","An efficient method to detect periodic behavior in botnet traffic by analyzing control plane traffic","Journal of Advanced Research","","2090-1232","10.1016/j.jare.2013.11.005","https://www.sciencedirect.com/science/article/pii/S2090123213001410","Botnets are large networks of bots (compromised machines) that are under the control of a small number of bot masters. They pose a significant threat to Internet’s communications and applications. A botnet relies on command and control (C2) communications channels traffic between its members for its attack execution. C2 traffic occurs prior to any attack; hence, the detection of botnet’s C2 traffic enables the detection of members of the botnet before any real harm happens. We analyze C2 traffic and find that it exhibits a periodic behavior. This is due to the pre-programmed behavior of bots that check for updates to download them every T seconds. We exploit this periodic behavior to detect C2 traffic. The detection involves evaluating the periodogram of the monitored traffic. Then applying Walker’s large sample test to the periodogram’s maximum ordinate in order to determine if it is due to a periodic component or not. If the periodogram of the monitored traffic contains a periodic component, then it is highly likely that it is due to a bot’s C2 traffic. The test looks only at aggregate control plane traffic behavior, which makes it more scalable than techniques that involve deep packet inspection (DPI) or tracking the communication flows of different hosts. We apply the test to two types of botnet, tinyP2P and IRC that are generated by SLINGbot. We verify the periodic behavior of their C2 traffic and compare it to the results we get on real traffic that is obtained from a secured enterprise network. We further study the characteristics of the test in the presence of injected HTTP background traffic and the effect of the duty cycle on the periodic behavior.","2014-07-01","2025-08-08 10:47:43","2025-08-08 10:47:43","2025-08-08 10:47:43","435-448","","4","5","","Journal of Advanced Research","","Cyber Security","","","","","","","","","","","ScienceDirect","","","","/Users/shoggyboy/Zotero/storage/YNZFTCMZ/AsSadhan and Moura - 2014 - An efficient method to detect periodic behavior in.pdf; /Users/shoggyboy/Zotero/storage/UGMG6L7N/S2090123213001410.html","","","Botnet detection; Control plane traffic; Discrete time series analysis; SLINGbot; Walker large sample test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XIQLAXC","blogPost","2025","Telychko, Veronika","Koske Malware Detection: New AI-Generated Linux Threat in the Wild","SOC Prime","","","","https://socprime.com/blog/koske-malware-detection/","Detect the Koske Linux malware developed using AI for cryptomining using curated Sigma rules from SOC Prime Platform.","2025-07-29","2025-08-08 11:18:44","2025-08-08 11:18:44","2025-08-08 11:18:44","","","","","","","Koske Malware Detection","","","","","","","en-US","","","","","","","Section: Blog","","/Users/shoggyboy/Zotero/storage/U232L2GP/koske-malware-detection.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GCJ94YW","webpage","","Check Point","AI Security Report, 2025","","","","","https://engage.checkpoint.com/2025-ai-security-report","Explore the top cyber threats of 2025, including ransomware, infostealers, and cloud vulnerabilities. Download Check Point's report for expert insights and strategies.","","2025-08-08 11:19:47","2025-08-08 11:36:38","2025-08-08 11:19:47","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYLSYGLE","webpage","","Splunk","Download now: State of Security 2025","Splunk","","","","https://www.splunk.com/en_us/form/state-of-security.html","Download the State of Security 2025 to learn why organizations are transforming their SOCs with new approaches that unify threat detection and response.","","2025-08-08 11:32:42","2025-08-08 14:36:20","2025-08-08 11:32:42","","","","","","","Download now","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/4ZJIPH67/state-of-security.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3YSHPS3","journalArticle","2025","Dalling, David","State of Security 2025","","","","","","","2025","2025-08-08 11:33:38","2025-08-08 11:33:38","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/shoggyboy/Zotero/storage/MGMPXSCA/Dalling - 2025 - State of Security 2025.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XPFXQWM","blogPost","2024","Netacea","Cyber Security in the Age of Offensive AI","Netacea","","","","https://netacea.com/reports/cyber-security-in-the-age-of-offensive-ai/","Read analysis into the greatest challenges in incorporating defensive AI, with insights into the future of AI attacks from experts.","2024","2025-08-08 14:36:52","2025-08-08 14:37:38","2025-08-08 14:36:52","","","","","","","","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/EX36DGVR/cyber-security-in-the-age-of-offensive-ai.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LI9NGE4W","blogPost","2025","Assaf Morag","AI-Generated Malware in Panda Image Hides Persistent Linux Threat","Aqua","","","","https://www.aquasec.com/blog/ai-generated-malware-in-panda-image-hides-persistent-linux-threat/","Aqua Nautilus research uncovers Koske, a new, sophisticated AI-generated Linux malware that uses image-based delivery, rootkits, and stealthy persistence","2025-07-24","2025-08-08 14:48:20","2025-08-08 14:49:15","2025-08-08 14:48:20","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/shoggyboy/Zotero/storage/Y48EJM53/ai-generated-malware-in-panda-image-hides-persistent-linux-threat.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAZX6KIF","webpage","2024","Bijoy Ahmed Saiem","SequentialBreak: Large Language Models Can be Fooled by Embedding Jailbreak Prompts into Sequential Prompt Chains.","Arxiv","","","","https://arxiv.org/html/2411.06426v1","This paper explains how LLM safety features can be bypassed, which can be harmful if misused. Certain sections may contain harmful content that may not be appropriate for all readers.","2024-11-10","2025-08-08 14:55:01","2025-08-08 14:59:26","2025-08-08 14:55:01","","","","","","","","","","","","","","","","","","","","","","","/Users/shoggyboy/Zotero/storage/ES9G5H9E/2411.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMDUIV5D","preprint","2024","Motlagh, Farzad Nourmohammadzadeh; Hajizadeh, Mehrdad; Majd, Mehryar; Najafi, Pejman; Cheng, Feng; Meinel, Christoph","Large Language Models in Cybersecurity: State-of-the-Art","","","","10.48550/arXiv.2402.00891","http://arxiv.org/abs/2402.00891","The rise of Large Language Models (LLMs) has revolutionized our comprehension of intelligence bringing us closer to Artificial Intelligence. Since their introduction, researchers have actively explored the applications of LLMs across diverse fields, significantly elevating capabilities. Cybersecurity, traditionally resistant to data-driven solutions and slow to embrace machine learning, stands out as a domain. This study examines the existing literature, providing a thorough characterization of both defensive and adversarial applications of LLMs within the realm of cybersecurity. Our review not only surveys and categorizes the current landscape but also identifies critical research gaps. By evaluating both offensive and defensive applications, we aim to provide a holistic understanding of the potential risks and opportunities associated with LLM-driven cybersecurity.","2024-01-30","2025-08-08 15:32:07","2025-08-08 15:32:07","2025-08-08 15:32:07","","","","","","","Large Language Models in Cybersecurity","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2402.00891 [cs]","","/Users/shoggyboy/Zotero/storage/5XTS3DW4/Motlagh et al. - 2024 - Large Language Models in Cybersecurity State-of-t.pdf; /Users/shoggyboy/Zotero/storage/ANQKFPRC/2402.html","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Cryptography and Security; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2402.00891","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYQUH8SE","webpage","","","State of Cybersecurity 2025 | CompTIA","","","","","https://www.comptia.org/en/resources/research/state-of-cybersecurity-2025/","CompTIA’s 2025 State of Cybersecurity report explores the many variables that must be considered in balancing the cybersecurity equation.","","2025-08-08 15:32:49","2025-08-08 15:32:49","2025-08-08 15:32:49","","","","","","","","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/C8RVIZTF/state-of-cybersecurity-2025.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S76SHHYP","conferencePaper","2023","Malatji, Masike","Offensive Artificial Intelligence: Current State of the Art and Future Directions","2023 International Conference on Digital Applications, Transformation & Economy (ICDATE)","","","10.1109/ICDATE58146.2023.10248780","https://ieeexplore.ieee.org/abstract/document/10248780","In recent years, the use of artificial intelligence (AI) has become increasingly prevalent in various industries, including cybersecurity. However, the same capabilities that make AI effective in protecting systems can also be used by attackers to launch sophisticated and complex cyberattacks. In this paper, the author conducted a systematic literature review to identify recent AI-driven cyberattacks and their characteristics, which could be used by cybersecurity experts to develop effective countermeasures. Preliminary findings indicate that some of the AI-driven attack types include data manipulation attacks (e.g. AI model data misclassification), access and penetration attacks (e.g. automated payload generation), and social engineering attacks (e.g. custom-made phishing). The paper also provides recommendations for policymakers, researchers, and practitioners to promote cybersecurity best practices, educate the public, and encourage international cooperation. Future research could delve deeper into the technical aspects of AI-driven cyberthreats and the strategies and techniques utilised to combat them. Overall, this paper emphasises the growing concern over offensive AI and adversarial AI and the need for continuous research and innovation to combat these evolving smart threats.","2023-07","2025-08-08 16:11:01","2025-08-08 16:11:01","2025-08-08 16:11:01","1-6","","","","","","Offensive Artificial Intelligence","","","","","","","","","","","","IEEE Xplore","","","","/Users/shoggyboy/Zotero/storage/TPCCUGH4/Malatji - 2023 - Offensive Artificial Intelligence Current State o.pdf","","","Industries; Artificial intelligence; adversarial AI; artificial intelligence (AI); Bibliographies; cybersecurity; Data models; defensive AI; intrusion detection system; offensive AI; Phishing; Systematics; Technological innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 International Conference on Digital Applications, Transformation & Economy (ICDATE)","","","","","","","","","","","","","","",""
"ZUWAIZNQ","journalArticle","2023","Mirsky, Yisroel; Demontis, Ambra; Kotak, Jaidip; Shankar, Ram; Gelei, Deng; Yang, Liu; Zhang, Xiangyu; Pintor, Maura; Lee, Wenke; Elovici, Yuval; Biggio, Battista","The Threat of Offensive AI to Organizations","Computers & Security","","0167-4048","10.1016/j.cose.2022.103006","https://www.sciencedirect.com/science/article/pii/S0167404822003984","AI has provided us with the ability to automate tasks, extract information from vast amounts of data, and synthesize media that is nearly indistinguishable from the real thing. However, positive tools can also be used for negative purposes. In particular, cyber adversaries can use AI to enhance their attacks and expand their campaigns. Although offensive AI has been discussed in the past, there is a need to analyze and understand the threat in the context of organizations. For example, how does an AI-capable adversary impact the cyber kill chain? Does AI benefit the attacker more than the defender? What are the most significant AI threats facing organizations today and what will be their impact on the future? In this study, we explore the threat of offensive AI on organizations. First, we present the background and discuss how AI changes the adversary’s methods, strategies, goals, and overall attack model. Then, through a literature review, we identify 32 offensive AI capabilities which adversaries can use to enhance their attacks. Finally, through a panel survey spanning industry, government and academia, we rank the AI threats and provide insights on the adversaries.","2023-01-01","2025-08-08 16:18:00","2025-08-08 16:18:00","2025-08-08 16:18:00","103006","","","124","","Computers & Security","","","","","","","","","","","","","ScienceDirect","","","","/Users/shoggyboy/Zotero/storage/38ULATCP/S0167404822003984.html; /Users/shoggyboy/Zotero/storage/Z29YVCAY/Mirsky et al. - 2023 - The Threat of Offensive AI to Organizations.pdf","","","Offensive AI; Adversarial machine learning; AI-Capable adversary; APT; Cyber security; Deepfake; Organization security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
